Id,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Garage Type,Garage Yr Blt,Garage Finish,Garage Area,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice
1044,160,RM,21.0,1680,1,0,3,Lvl,AllPub,Inside,2,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,3,3,CBlock,3,3,1,5,387.0,1,0.0,96.0,483.0,GasA,3,1,SBrkr,483,504,0,987,0.0,0.0,1,1,2,1,3,4,Typ,0,Detchd,1971.0,1,264.0,2,0,0,0,0,0,0,0,NA,0,7,2008,COD,85400
2752,20,RL,64.0,7488,1,0,2,Lvl,AllPub,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,3,6,393.0,1,0.0,815.0,1208.0,GasA,5,1,SBrkr,1208,0,0,1208,0.0,0.0,2,0,2,1,4,6,Typ,0,Attchd,2005.0,2,632.0,2,105,58,0,0,0,0,0,NA,0,2,2006,WD ,183600
807,70,RL,120.0,26400,1,0,3,Bnk,AllPub,FR2,2,SawyerW,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,PConc,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,5,1,SBrkr,1288,728,0,2016,0.0,0.0,1,0,4,1,3,7,Mod,1,Attchd,1900.0,1,576.0,1,0,0,0,0,0,0,0,NA,0,6,2009,WD ,131000
1177,160,FV,24.0,2645,1,2,3,Lvl,AllPub,Inside,2,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,4,3,PConc,4,3,1,6,813.0,1,0.0,147.0,960.0,GasA,5,1,SBrkr,962,645,0,1607,1.0,0.0,2,1,3,1,4,7,Typ,0,Detchd,2000.0,1,480.0,2,169,0,0,0,0,0,0,NA,0,12,2008,ConLD,200000
1480,20,RL,74.0,9627,1,0,3,Lvl,AllPub,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,3,6,24.0,1,0.0,1327.0,1351.0,GasA,5,1,SBrkr,1361,0,0,1361,0.0,0.0,2,0,3,1,4,6,Typ,0,Attchd,2007.0,2,610.0,2,0,50,0,0,0,0,0,NA,0,6,2008,WD ,193000
324,20,RL,93.0,10114,1,0,3,Lvl,AllPub,Inside,2,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,5,3,3,1,0.0,1,0.0,1430.0,1430.0,GasA,5,1,SBrkr,1430,0,0,1430,0.0,0.0,2,0,3,1,4,7,Typ,0,Attchd,2004.0,2,624.0,2,0,0,0,0,0,0,0,NA,0,3,2010,WD ,173500
1311,70,RM,34.0,4571,1,1,3,Lvl,AllPub,Inside,2,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,3,BrkTil,3,3,1,1,0.0,1,0.0,624.0,624.0,GasA,2,0,SBrkr,624,720,0,1344,0.0,0.0,1,0,4,1,3,7,Typ,0,Detchd,1916.0,1,513.0,2,0,0,96,0,0,0,0,NA,0,5,2008,COD,98000
770,20,RL,80.0,8816,1,0,3,Lvl,AllPub,Corner,2,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3,3,1,3,651.0,1,0.0,470.0,1121.0,GasA,3,1,SBrkr,1121,0,0,1121,1.0,0.0,1,0,3,1,3,5,Typ,0,Detchd,1963.0,1,480.0,2,0,80,0,0,0,0,3,NA,0,6,2009,WD ,139000
2063,20,RL,71.0,8197,1,0,3,Lvl,AllPub,Inside,2,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,3,3,CBlock,3,3,1,1,0.0,1,0.0,660.0,660.0,GasA,5,1,SBrkr,1285,0,0,1285,0.0,0.0,1,1,3,1,3,7,Typ,1,Attchd,1977.0,2,528.0,2,138,0,0,0,0,0,3,NA,0,4,2007,WD ,143500
69,60,FV,72.0,8640,1,0,3,Lvl,AllPub,Inside,2,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,2,6,24.0,1,0.0,732.0,756.0,GasA,5,1,SBrkr,764,783,0,1547,0.0,0.0,2,1,3,1,4,7,Typ,0,Attchd,2009.0,1,614.0,2,169,45,0,0,0,0,0,NA,0,6,2010,Con,215200
2062,20,RL,109.0,8724,1,0,3,Lvl,AllPub,Inside,2,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,4,3,1,4,492.0,1,0.0,402.0,894.0,GasA,4,1,SBrkr,894,0,0,894,0.0,0.0,1,0,3,1,3,5,Typ,1,Attchd,1968.0,3,450.0,2,0,0,0,0,0,0,0,NA,0,5,2007,WD ,129000
351,120,RL,40.0,5664,1,0,2,Lvl,AllPub,Inside,2,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,3,PConc,4,3,1,6,1158.0,1,0.0,343.0,1501.0,GasA,5,1,SBrkr,1659,0,0,1659,1.0,0.0,2,0,2,1,5,5,Typ,1,Attchd,2000.0,3,499.0,2,212,59,0,0,0,0,0,NA,0,10,2009,WD ,278000
2393,60,RL,103.0,12867,1,0,2,Lvl,AllPub,Corner,2,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,CemntBd,CmentBd,NA,0.0,4,3,PConc,5,3,3,1,0.0,1,0.0,1209.0,1209.0,GasA,5,1,SBrkr,1209,1044,0,2253,0.0,0.0,2,1,3,1,5,8,Typ,1,Attchd,2005.0,3,575.0,2,243,142,0,0,0,0,0,NA,0,7,2006,New,344133
12,20,RL,0.0,7980,1,0,2,Lvl,AllPub,Inside,2,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,PConc,4,3,1,5,935.0,1,0.0,233.0,1168.0,GasA,5,1,SBrkr,1187,0,0,1187,1.0,0.0,2,0,3,1,3,6,Typ,0,Attchd,1992.0,3,420.0,2,483,21,0,0,0,0,4,Shed,500,3,2010,WD ,185000
2339,190,RL,100.0,34650,1,0,3,Bnk,AllPub,Inside,2,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,2,3,1056.0,1,0.0,0.0,1056.0,GasA,3,0,SBrkr,1056,0,0,1056,1.0,0.0,1,0,3,1,3,5,Typ,0,Attchd,1955.0,3,572.0,2,264,0,0,0,0,0,0,NA,0,1,2006,WD ,145000
624,20,RL,92.0,10573,1,0,2,Lvl,AllPub,Corner,2,NAmes,Norm,Norm,1Fam,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,3,3,CBlock,3,3,1,3,1312.0,1,0.0,141.0,1453.0,GasA,5,1,SBrkr,1453,0,0,1453,1.0,0.0,2,0,3,1,3,6,Typ,1,Attchd,1961.0,2,530.0,2,0,49,0,0,288,0,4,NA,0,4,2009,WD ,187500
86,20,RL,65.0,8450,1,0,3,Lvl,AllPub,Inside,2,Sawyer,RRAe,Norm,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3,3,1,6,553.0,4,117.0,224.0,894.0,GasA,5,1,SBrkr,894,0,0,894,1.0,0.0,1,0,3,1,3,5,Typ,1,Detchd,1973.0,1,336.0,2,416,144,0,0,0,0,3,NA,0,4,2010,WD ,138500
1534,50,RL,0.0,11700,1,1,2,HLS,AllPub,Inside,1,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,None,0.0,3,3,CBlock,3,3,1,4,606.0,1,0.0,336.0,942.0,GasA,5,1,SBrkr,1265,673,0,1938,0.0,0.0,2,0,4,1,4,7,Min2,1,Detchd,1937.0,1,240.0,2,0,40,0,0,0,0,0,NA,0,7,2008,WD ,198000
2243,190,C (all),75.0,8250,1,0,3,Lvl,AllPub,Inside,2,IDOTRR,Feedr,Norm,2fmCon,2Story,5,6,1895,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,1,1,0.0,1,0.0,957.0,957.0,GasA,2,0,SBrkr,1034,957,0,1991,0.0,0.0,2,0,4,2,3,9,Typ,0,NA,0.0,0,0.0,0,0,0,133,0,0,0,0,NA,0,6,2007,WD ,119600
1957,50,RL,60.0,8064,1,0,3,Lvl,AllPub,Corner,2,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3,3,2,1,0.0,1,0.0,672.0,672.0,GasA,5,1,SBrkr,672,252,0,924,0.0,0.0,1,0,3,1,3,6,Typ,1,Detchd,2003.0,1,576.0,2,0,0,0,0,0,0,3,Shed,2000,7,2007,WD ,122900
380,20,RL,80.0,9600,1,0,3,Lvl,AllPub,Inside,2,NWAmes,PosN,Norm,1Fam,1Story,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,0.0,4,3,PConc,4,3,1,5,1104.0,1,0.0,1420.0,2524.0,GasA,3,1,SBrkr,2524,0,0,2524,1.0,0.0,2,1,4,1,4,9,Typ,1,Attchd,1981.0,3,542.0,2,474,120,0,0,0,0,3,NA,0,7,2009,WD ,278000
2860,70,RL,0.0,11435,1,0,2,HLS,AllPub,Corner,1,Crawfor,Norm,Norm,1Fam,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,None,0.0,3,3,PConc,4,3,1,1,0.0,1,0.0,792.0,792.0,GasA,2,1,SBrkr,792,725,0,1517,0.0,0.0,1,0,3,1,4,7,Typ,2,Detchd,1931.0,1,400.0,2,0,0,0,0,0,0,0,NA,0,6,2006,WD ,230000
2517,120,RL,30.0,9549,1,0,2,Lvl,AllPub,CulDSac,2,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,CompShg,BrkFace,BrkFace,None,0.0,4,4,PConc,4,4,3,2,437.0,6,1057.0,0.0,1494.0,GasA,5,1,SBrkr,1494,0,0,1494,1.0,0.0,1,1,2,1,5,6,Typ,1,Attchd,1995.0,3,481.0,2,0,30,0,0,216,0,0,NA,0,4,2006,WD ,270000
1933,20,RL,60.0,10950,1,0,3,Lvl,AllPub,Inside,2,NAmes,Norm,Norm,1Fam,1Story,6,6,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,5,441.0,1,0.0,507.0,948.0,GasA,3,1,SBrkr,948,0,0,948,0.0,0.0,1,0,2,1,3,5,Typ,0,Detchd,1952.0,1,410.0,0,0,48,0,0,0,0,0,NA,0,4,2007,WD ,125000
820,20,RL,79.0,10637,1,0,3,Lvl,AllPub,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,4,3,PConc,5,3,4,6,1288.0,1,0.0,417.0,1705.0,GasA,5,1,SBrkr,1718,0,0,1718,1.0,0.0,2,0,3,1,4,7,Typ,1,Attchd,2007.0,2,826.0,2,208,44,0,0,0,0,0,NA,0,9,2009,WD ,297000
675,20,RL,80.0,9000,1,0,2,HLS,AllPub,Inside,1,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,3,3,CBlock,4,3,4,1,0.0,1,0.0,160.0,160.0,GasA,2,1,SBrkr,1142,0,0,1142,0.0,0.0,1,0,2,1,3,5,Typ,1,Basment,1958.0,2,384.0,2,0,28,64,0,0,0,0,NA,0,4,2009,WD ,113500
2910,160,RM,41.0,2665,1,0,3,Lvl,AllPub,Inside,2,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,PConc,3,3,1,5,548.0,3,173.0,36.0,757.0,GasA,5,1,SBrkr,925,550,0,1475,0.0,0.0,2,0,4,1,3,6,Typ,1,Attchd,1977.0,2,336.0,2,104,26,0,0,0,0,0,NA,0,7,2006,WD ,127000
21,20,RL,105.0,11751,1,0,2,Lvl,AllPub,Inside,2,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,3,3,CBlock,4,3,1,4,705.0,1,0.0,1139.0,1844.0,GasA,5,1,SBrkr,1844,0,0,1844,0.0,0.0,2,0,3,1,3,7,Typ,1,Attchd,1977.0,2,546.0,2,0,122,0,0,0,0,3,NA,0,1,2010,COD,190000
1873,20,RL,80.0,9600,1,0,3,Lvl,AllPub,Inside,2,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,3,3,CBlock,3,3,1,5,916.0,1,0.0,326.0,1242.0,GasA,2,1,SBrkr,1242,0,0,1242,0.0,0.0,1,1,3,1,3,6,Typ,1,Attchd,1973.0,1,528.0,2,0,0,0,0,0,0,0,NA,0,9,2007,WD ,175500
2125,20,RL,60.0,8428,1,0,1,Lvl,AllPub,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,PConc,4,4,1,6,420.0,1,0.0,570.0,990.0,GasA,5,1,SBrkr,990,0,0,990,1.0,0.0,1,0,3,1,3,5,Typ,0,Detchd,1995.0,1,384.0,2,256,0,0,0,0,0,0,NA,0,7,2007,WD ,146000
1489,20,RL,75.0,9937,1,0,3,Lvl,AllPub,Inside,2,Edwards,Norm,Norm,1Fam,1Story,5,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,CBlock,3,3,1,4,830.0,2,290.0,136.0,1256.0,GasA,4,1,SBrkr,1256,0,0,1256,1.0,0.0,1,1,3,1,3,6,Typ,0,Attchd,1965.0,3,276.0,2,736,68,0,0,0,0,0,NA,0,6,2008,WD ,147500
2383,20,RL,107.0,13891,1,0,3,Lvl,AllPub,Inside,2,NridgHt,Norm,Norm,1Fam,1Story,10,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,NA,0.0,5,3,PConc,5,4,4,6,1386.0,1,0.0,690.0,2076.0,GasA,5,1,SBrkr,2076,0,0,2076,1.0,0.0,2,1,2,1,5,7,Typ,1,Attchd,2006.0,3,850.0,2,216,229,0,0,0,0,0,NA,0,9,2006,New,465000
983,85,RL,0.0,9101,1,0,2,Lvl,AllPub,Corner,2,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,104.0,3,4,PConc,4,3,3,6,1097.0,1,0.0,0.0,1097.0,GasA,5,1,SBrkr,1110,0,0,1110,1.0,0.0,1,0,1,1,4,4,Typ,1,Attchd,1978.0,3,602.0,2,303,30,0,0,0,0,0,NA,0,7,2009,WD ,165500
1325,50,RM,81.0,12150,1,1,3,Lvl,AllPub,Inside,2,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,1954,1954,Gable,CompShg,MetalSd,MetalSd,BrkFace,335.0,3,3,BrkTil,3,3,1,1,0.0,1,0.0,1050.0,1050.0,GasA,5,0,FuseF,1050,745,0,1795,0.0,0.0,2,0,4,1,3,7,Typ,0,Attchd,1954.0,1,352.0,2,0,0,0,0,0,0,0,NA,0,11,2008,WD ,131500
1378,20,RL,70.0,11200,1,0,3,Lvl,AllPub,Inside,2,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,1,3,906.0,1,0.0,134.0,1040.0,GasA,5,1,SBrkr,1040,0,0,1040,1.0,0.0,1,0,3,1,3,5,Typ,0,Detchd,1965.0,1,384.0,2,0,0,0,0,0,0,0,NA,0,2,2008,WD ,129500
1537,70,RL,100.0,9670,1,0,2,HLS,AllPub,Inside,1,Crawfor,Norm,Norm,1Fam,2Story,8,6,1935,1950,Gable,CompShg,BrkFace,Stucco,Stone,40.0,3,3,PConc,3,2,1,2,210.0,1,0.0,398.0,608.0,GasA,3,1,SBrkr,983,890,0,1873,0.0,0.0,1,1,4,1,3,9,Typ,2,Detchd,1935.0,3,786.0,2,0,0,207,0,0,0,0,NA,0,6,2008,WD ,257076
905,50,RL,60.0,10998,1,1,3,Lvl,AllPub,Inside,2,Edwards,Norm,Norm,1Fam,1.5Fin,5,5,1941,1960,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,2,408.0,4,420.0,156.0,984.0,GasA,5,1,SBrkr,984,620,0,1604,0.0,0.0,2,0,3,1,3,6,Min2,0,Detchd,1977.0,1,660.0,2,0,68,0,0,0,0,0,NA,0,7,2009,WD ,117000
1532,70,RL,60.0,7200,1,0,3,HLS,AllPub,Inside,1,Crawfor,Norm,Norm,1Fam,2Story,7,6,1931,2000,Gable,CompShg,Stucco,Wd Shng,None,0.0,3,2,BrkTil,4,3,1,1,0.0,1,0.0,776.0,776.0,GasA,3,1,SBrkr,851,651,0,1502,0.0,0.0,1,1,3,1,3,6,Typ,1,Attchd,1931.0,2,270.0,1,0,0,112,0,0,0,3,NA,0,2,2008,WD ,149000
132,20,RL,80.0,9920,1,0,3,Lvl,AllPub,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,5,1954,1954,Gable,CompShg,HdBoard,HdBoard,Stone,110.0,3,3,CBlock,3,3,1,3,354.0,2,290.0,412.0,1056.0,GasA,3,1,SBrkr,1063,0,0,1063,1.0,0.0,1,0,3,1,3,6,Typ,0,Attchd,1954.0,2,280.0,2,0,0,164,0,0,0,3,NA,0,2,2010,WD ,128000
1078,160,RL,36.0,2448,1,0,3,Lvl,AllPub,Inside,2,NridgHt,Norm,Norm,Twnhs,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,Wd Shng,Stone,106.0,4,3,PConc,4,3,1,1,0.0,1,0.0,764.0,764.0,GasA,5,1,SBrkr,764,862,0,1626,0.0,0.0,2,1,2,1,4,6,Typ,0,BuiltIn,2003.0,2,474.0,2,0,27,0,0,0,0,0,NA,0,10,2008,WD ,155000
2511,160,FV,0.0,2998,1,0,3,Lvl,AllPub,Inside,2,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,513.0,4,3,PConc,4,3,1,6,353.0,1,0.0,403.0,756.0,GasA,5,1,SBrkr,768,756,0,1524,0.0,0.0,2,1,2,1,4,4,Typ,0,Detchd,2000.0,1,440.0,2,0,32,0,0,0,0,0,NA,0,6,2006,WD ,166000
912,50,RL,65.0,7804,1,0,3,Lvl,AllPub,Inside,2,SWISU,Norm,Norm,1Fam,1.5Fin,4,3,1928,1950,Gable,CompShg,WdShing,Plywood,None,0.0,3,3,BrkTil,3,3,1,4,622.0,1,0.0,500.0,1122.0,GasA,3,1,SBrkr,1328,653,0,1981,1.0,0.0,2,0,4,1,4,7,Min2,2,Detchd,1981.0,1,576.0,2,431,44,0,0,0,0,3,NA,0,12,2009,WD ,135000
2351,60,RL,80.0,16692,1,0,2,Lvl,AllPub,Inside,2,NWAmes,RRAn,Norm,1Fam,2Story,7,5,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,184.0,3,3,CBlock,4,3,1,4,790.0,2,469.0,133.0,1392.0,GasA,3,1,SBrkr,1392,1392,0,2784,1.0,0.0,3,1,5,1,4,12,Typ,2,Attchd,1978.0,2,564.0,2,0,112,0,0,440,519,3,TenC,2000,7,2006,WD ,250000
330,160,RM,21.0,1476,1,0,3,Lvl,AllPub,Inside,2,MeadowV,Norm,Norm,Twnhs,2Story,4,7,1970,1970,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,CBlock,3,3,1,6,176.0,1,0.0,370.0,546.0,GasA,5,1,SBrkr,546,546,0,1092,0.0,0.0,1,1,3,1,3,5,Typ,0,NA,0.0,0,0.0,2,200,26,0,0,0,0,0,NA,0,3,2010,WD ,76000
2586,20,RL,75.0,10170,1,0,3,Lvl,AllPub,Corner,2,NAmes,Norm,Norm,1Fam,1Story,6,6,1951,1951,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,522.0,3,3,CBlock,3,3,1,1,0.0,1,0.0,216.0,216.0,GasA,3,1,SBrkr,1575,0,0,1575,0.0,0.0,1,1,2,1,4,5,Typ,1,Attchd,1951.0,1,400.0,2,0,0,0,0,0,0,0,NA,0,6,2006,WD ,155000
